Source:,http://hfrportal.moh.go.tz/index.php?r=facilities/BedCapacity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bed Capacity for operating facility As of 05-08-2021 16:19:42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,Available Bed
101397-8,Huduma - Kilimahewa,-2.49294,32.91076,Huduma H/c,Mwanza Region,Ilemela District,Ilemela MC,Ibungilo,Kiloleli A,Health Center,,Private,12-07-13,784290904,10
109825-0,Huduma clinic,-4.81325,34.75647,huduma clinic,Singida Region,Singida District,Singida MC,Mitunduruni,Mitunduruni,Medical Clinic,,Private,,,
101398-6,Huduma Mashuleni,-2.5162,32.89939,Huduma Mashuleni,Mwanza Region,Nyamagana District,Nyamagana MC,Nyamagana,Nyamagana Mashariki,Dispensary,,Public,07-01-95,,2
112644-0,Huduma maternity,,,Huduma maternity,Mara Region,Tarime District,Tarime DC,Nyarokoba,Gibaso,Maternity Home,,Private,,762344267,
113721-5,Huduma ya Afya Mama wa Mateso,-3.90674,32.40536,Huduma ya Afya Mama wa Mateso,Shinyanga Region,Kahama District,Ushetu DC,Mpunze,Mpunze,Medical Clinic,,Private,01-01-70,785544861,
101400-0,HUHO Dental,,,,Dar es Salaam Region,Ilala District,Ilala MC,Kariakoo,Kariakoo Mashariki,Basic Dental Clinic,,Private,,,
114451-8,Hulege life line,,,,Kigoma Region,Buhigwe District,Buhigwe DC,Buhigwe,Buhigwe,Level IA2 (Dispensary Laboratory),,Private,,762022207,
101401-8,Hulia,-10.79896,36.68382,Hulia,Ruvuma Region,Tunduru District,Tunduru DC,Namwinyu,Hulia,Dispensary,,Public,07-01-85,,2
110999-0,Humai,-4.66594,35.77838,,Dodoma Region,Kondoa District,Kondoa DC,Soera,Humai,Dispensary,,Public,,,
101403-4,Humekwa,-5.53783,35.723189,Humekwa,Dodoma Region,Chamwino District,Chamwino DC,Haneti,Humekwa,Dispensary,,Public,07-04-00,,
109539-7,Hungumalwa,-3.17292,33.29692,Hugumalwa,Mwanza Region,Kwimba District,Kwimba DC,Hungumalwa,Hungumalwa,Dispensary,,Public,01-01-70,,
101404-2,Hunyari,-1.98519,34.0784,Hunyari,Mara Region,Bunda District,Bunda DC,Hunyari,Hunyari,Dispensary,,Public,01-01-70,2552826536,
101405-9,Hurui,-4.356845,35.877383,,Dodoma Region,Kondoa District,Kondoa DC,Kikore,Hurui,Dispensary,,Private,07-05-00,,2
101408-3,Huruma,-10.275941,40.165785,Huruma Dispensary,Mtwara Region,Mtwara District,Mtwara MC,Chuno,,Dispensary,,Private,01-01-70,,4
110948-7,Huruma,-11.0323,37.3261,,Ruvuma Region,Tunduru District,Tunduru DC,Masonya,Nakayaya Mashariki,Dispensary,,Private,09-01-14,,1
101409-1,Huruma,-4.576862,30.048338,"Kwa Hinyuye, Murusi",Kigoma Region,Kasulu District,Kasulu TC,Kasulu Mjini,Murusi,Dispensary,,Private,01-01-70,766712711,4
112372-8,Huruma,-2.524882,32.291692,Dispensary,Mwanza Region,Sengerema District,Buchosa DC,Nyehunge,Nyehunge,Dispensary,,Private,12-07-17,752628388,5
109424-2,Huruma,-8.93496,33.3478,Huruma,Mbeya Region,Mbeya District,Mbeya DC,Nsalala,Tunduma Road,Dispensary,,Private,07-11-11,754376424,2
111174-9,Huruma,-1.834641,31.667202,Huruma,Kagera Region,Muleba District,Muleba DC,Muleba,Muleba,Dispensary,,Private,,,8
101416-6,Huruma,-3.18831,37.61679,Huruma DDH,Kilimanjaro Region,Rombo District,Rombo DC,Kelamfua Mokala,Ibukoni,Hospital at District Level,,Private,04-01-70,-274908,300
111102-0,Huruma,-6.78972,39.16761,Huruma Kimara,Dar es Salaam Region,Ubungo District,Ubungo MC,Saranga,Matangini,Dispensary,,Private,09-07-97,784201584,4
111180-6,Huruma,-4.189414,35.022199,,Manyara Region,Mbulu District,Mbulu DC,Haydom,Haydom,Dispensary,,Private,01-01-70,,2
101423-2,Huruma,-2.52911,32.90924,Huruma Mirongo,Mwanza Region,Nyamagana District,Nyamagana MC,Igogo,Igogo Kaskazini 'B',Dispensary,,Private,04-03-99,767618505,6
112673-9,Huruma,-3.006813,31.926497,Huruma Nursing and Maternity Home,Geita Region,Geita District,Geita DC,Katoro,Katoro Senta,Maternity Home,,Private,06-01-20,710733927,4
114712-3,Huruma,-2.53535,33.0071,,Mwanza Region,Ilemela District,Ilemela MC,Nyamhongolo,Nyamhongolo,Dispensary,,Private,10-05-20,,
111423-0,Huruma,-6.975667,39.212704,,Dar es Salaam Region,Temeke District,Temeke MC,Chamazi,Magengeni,Dispensary,,Private,01-07-16,744022387,4
113050-9,Huruma,,,,Njombe Region,Ludewa District,Ludewa DC,Ludewa,,Level IA2 (Dispensary Laboratory),,Private,,,
101406-7,Huruma,,,,Arusha Region,Karatu District,Karatu DC,Rhotia,Kilima moja,Dispensary,,Private,,,
101412-5,Huruma,-6.8435,39.191551,Huruma Health Centre,Dar es Salaam Region,Ilala District,Ilala MC,Segerea,Segerea,Health Center,,Private,07-01-17,756141593,15
113065-7,Huruma,-10.67871,35.64998,,Ruvuma Region,Songea District,Songea MC,Mjini,CCM,Level IA2 (Dispensary Laboratory),,Private,,,
112491-6,Huruma,-3.64939,32.16772,Huruma,Geita Region,Mbogwe District,Mbogwe DC,Masumbwe,Masumbwe,Dispensary,,Private,09-09-16,,
113197-8,Huruma,-5.067357,32.072382,,Tabora Region,Urambo District,Urambo DC,Urambo,,Level IA2 (Dispensary Laboratory),,Private,,,
111370-3,Huruma,-3.002992,31.920073,HURUMA,Geita Region,Chato District,Chato DC,Buseresere,Buseresere,Dispensary,,Private,07-01-15,,8
110951-1,Huruma,-2.555756,32.986507,Prinimat Huruma,Mwanza Region,Nyamagana District,Nyamagana MC,Igoma,Shamaliwa 'A',Maternity and Nursing Home,,Private,01-01-70,787971590,1
110942-0,Huruma,,,,Pwani Region,Bagamoyo District,Bagamoyo DC,Magomeni,Magomeni,Dispensary,,Private,,,
110877-8,Huruma,-2.72781,33.61844,Huruma,Mwanza Region,Magu District,Magu DC,Nkungulu,Kabila,Dispensary,,Private,09-06-97,,
114108-4,Huruma,,,Huruma Dispensary,Songwe Region,Songwe District,Songwe DC,Kanga,Tete,Dispensary,,Private,11-01-16,,
114462-5,Huruma,,,,Tabora Region,Tabora District,Tabora MC,Kiloleni,Zahanati,Level IA2 (Dispensary Laboratory),,Private,,,
113110-1,Huruma,-9.311489999999999,32.76379,HURUMA,Songwe Region,Momba District,Tunduma TC,Tunduma,Sikanyika,Level IA2 (Dispensary Laboratory),,Private,01-01-70,754204024,
113008-7,Huruma,-4.91,29.67454,,Kigoma Region,Kigoma District,Kigoma Ujiji MC,Buzebazeba,,Level IA2 (Dispensary Laboratory),,Private,09-06-97,,
108730-3,Huruma,-4.888427,29.642744,Huruma,Kigoma Region,Kigoma District,Kigoma Ujiji MC,Mwanga Kaskazini,Kisangani,Dispensary,,Private,09-06-97,2804350,4
101415-8,Huruma COGI,-3.3312,37.14866,,Kilimanjaro Region,Hai District,Hai DC,Hai Mjini,Bomani,Dispensary,,Private,,,1
101418-2,Huruma Kanora,,,,Arusha Region,Arusha District,Arusha CC,Sokon I,Madukani,Dispensary,,Private,,,
101419-0,Huruma Kimandolu,-3.41899,36.6582,,Arusha Region,Arusha District,Arusha CC,Kimandolu,Kijenge Kaskazini,Dispensary,,Private,,,
113097-0,Huruma Private,,,,Ruvuma Region,Mbinga District,Mbinga DC,Lukarasi,,Level IA2 (Dispensary Laboratory),,Private,,,
101421-6,Huruma Tandale,-6.78838,39.2368,Huruma,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Kijitonyama,Mpakani A,Dispensary,,Private,,,
101422-4,HurumaKatesh,,,Huruma,Manyara Region,Hanang District,Hanang DC,Katesh,,Medical Clinic,,Private,,,
101424-0,Hurumia Watoto,-2.524793,32.918121,Hurumia watoto,Mwanza Region,Nyamagana District,Nyamagana MC,Mbugani,Nyerere 'B',Hospital at District Level,,Private,07-05-16,757309317,20
112575-6,Husain,-6.77456,39.2706,Africab Polyclinic,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Msasani,Makangira,Specialized Polyclinic,,Private,02-01-19,684619683,6
101425-7,Huzi,-6.652928,35.488999,Huzi,Dodoma Region,Chamwino District,Chamwino DC,Huzi,Huzi,Dispensary,,Public,03-01-77,,
112908-9,Hyadom Optical Centre,-4.19105,35.0202,,Manyara Region,Mbulu District,Mbulu DC,Haydom,Haydom,Optometry Clinic,,Private,01-01-70,783048296,
111693-8,Hydemak,-5.347129,38.233988,HYDEMAK,Tanga Region,Handeni District,Handeni DC,Sindeni,Mbuyuni,Dispensary,,Private,02-01-17,712645702,2
101335-8,Hydom,-4.11563,35.01602,,Manyara Region,Mbulu District,Mbulu DC,Haydom,Haydom,Hospital at Regional Level,,Private,01-01-70,,
113236-4,I & J,,,,Tanga Region,Tanga District,Tanga CC,Majengo,,Level IA2 (Dispensary Laboratory),,Private,,,
101426-5,I. C. M.F,-3.37285,36.67476,ICMFT,Arusha Region,Arusha District,Arusha CC,Ngarenaro,NHC,Dispensary,,Private,09-07-97,,2
112301-7,I.M,-4.19544,35.00388,I.M,Manyara Region,Mbulu District,Mbulu DC,Haydom,Ng'wandakw,Dispensary,,Private,01-01-70,784711591,2
101428-1,Iambi ELCT,-4.33969,34.8412,Iambi,Singida Region,Mkalama District,Mkalama DC,Ilunda,Nkungi,Hospital at District Level,,Private,05-12-58,787100389,108
101427-3,Iambi ELCT,-4.35331,34.7594,iambi,Singida Region,Mkalama District,Mkalama DC,Ilunda,,Dispensary,,Private,01-01-70,764209789,2
101429-9,Ibaba,-9.395161,33.372384,Ibaba HC,Songwe Region,Ileje District,Ileje DC,Ibaba,Ibaba,Health Center,,Public,07-01-78,25570071,16
101430-7,Ibadakuli,-3.6283,33.4965,Ibadakuli,Shinyanga Region,Shinyanga District,Shinyanga MC,Ibadakuli,Ibadakuli,Dispensary,,Public,07-01-65,,13
101431-5,Ibaga,-9.230418,34.221451,Ibaga Dispensary,Njombe Region,Makete District,Makete DC,Mang`oto,Ibaga,Dispensary,,Public,01-01-70,,1
101432-3,Ibamba,-1.25521,30.93597,Ibamba Dispensary,Kagera Region,Kyerwa District,Kyerwa DC,Kamuli,Kitwe,Dispensary,,Private,01-01-70,785324777,20
109993-6,Ibambo,-4.80697,32.4373,Ibambo,Tabora Region,Kaliua District,Kaliua DC,Mwongozo,Ibambo,Dispensary,,Public,01-01-70,2.55263E+11,
114051-6,Ibatu,-8.876300000000001,35.05897,Ibatu Dispensary,Njombe Region,Njombe District,Makambako TC,Kitandililo,,Dispensary,,Public,01-01-70,,
101434-9,Ibaya,-3.67751,37.64394,Ibaya,Kilimanjaro Region,Mwanga District,Mwanga DC,Jipe,Jipe,Dispensary,,Public,01-01-70,,2
115096-0,Ibaya,-5.32207,32.7004,Ibaya,Tabora Region,Sikonge District,Sikonge DC,Mpombwe,Ibaya,Dispensary,Foundation,Public,07-08-20,,
109817-7,Ibembwa,-9.003431000000001,32.873646,Ibembwa,Songwe Region,Mbozi District,Mbozi DC,Msia,Ibembwa,Dispensary,,Public,01-01-70,,1
114440-1,Ibezya,,,Ibezya Dispensary,Songwe Region,Ileje District,Ileje DC,Ndola,Ibezya,Dispensary,,Public,,,
101435-6,Ibigi,-9.222334999999999,33.640641,Ibighi,Mbeya Region,Rungwe District,Rungwe DC,Ibighi,Ibighi,Maternity Home,,Private,,,3
101436-4,Ibihi,-10.05461,34.65991,Ibihi,Njombe Region,Ludewa District,Ludewa DC,Ludewa,Ludewa Mjini,Dispensary,,Public,,786854327,
101437-2,Ibihwa,-6.005476,35.432887,Ibihwa,Dodoma Region,Bahi District,Bahi DC,Ibihwa,Ibihwa,Dispensary,,Public,04-10-72,2.55263E+11,2
111378-6,Ibiki,-9.015238999999999,34.928239,Ibiki,Njombe Region,Njombe District,Njombe DC,Igongolo,,Dispensary,,Public,01-01-70,,1
101438-0,Ibililo,-9.204646,33.516784,Ibililo,Mbeya Region,Rungwe District,Rungwe DC,Nkunga,Ibililo,Dispensary,,Public,,,
110210-2,Ibindi,-6.52424,31.0814,Ibindi,Katavi Region,Mlele District,Nsimbo DC,Machimboni,Ibindi,Dispensary,,Public,07-01-04,,1
101440-6,Ibindo,-2.8021,33.45009,Ibindo,Mwanza Region,Kwimba District,Kwimba DC,Nyambiti,Ibindo,Dispensary,,Public,,,
101441-4,Ibiri,-4.926491,32.598181,Ibiri,Tabora Region,Uyui District,Uyui DC,Ibiri,Ibiri,Dispensary,,Public,,,2
115043-2,Iboja,,,,Shinyanga Region,Kishapu District,Kishapu DC,Mwakipoya,Iboja,Dispensary,Foundation,Public,02-02-21,,
101444-8,Ibole,,,,Tabora Region,Igunga District,Igunga DC,Igurubi,,Dispensary,,Public,,,
101445-5,Ibologelo,-4.232986,33.472735,Ibologero,Tabora Region,Igunga District,Igunga DC,Ibologelo,Ibologelo,Dispensary,,Public,08-04-15,,2
111503-9,Ibondo,-3.0197,32.00817,Ibondo,Geita Region,Geita District,Geita DC,Ludete,Ibondo,Dispensary,,Public,01-01-70,2.25283E+11,2
101447-1,Ibongoya,-2.73657,33.12861,Ibongoya,Mwanza Region,Misungwi District,Misungwi DC,Mamaye,Ibongoya 'B',Dispensary,,Public,07-01-64,,5
114341-1,"Ibongoya ""A""",-2.718642,33.138806,,Mwanza Region,Misungwi District,Misungwi DC,Koromije,Ibongoya 'A',Dispensary,Foundation,Public,,,
101448-9,Ibosa,-1.24665,31.8415,Ibosa,Kagera Region,Bukoba District,Bukoba DC,Nyakato,Ibosa,Dispensary,,Public,01-01-70,282220287,3
101449-7,Iboya,-9.434696000000001,35.038313,Iboya,Njombe Region,Njombe District,Njombe TC,Ihanga,Iboya,Dispensary,,Public,03-01-00,756044946,
101450-5,Iboya,-3.34981,32.18427,Iboya,Geita Region,Mbogwe District,Mbogwe DC,Mbogwe,Iboya,Health Center,,Public,07-01-55,,13
113224-0,Ibra,-5.17365,38.78797,Ibra Labaratory,Tanga Region,Muheza District,Muheza DC,Tanganyika,,Level III Multipurpose Health Laboratory,,Private,08-01-16,655759747,
113283-6,Ibra,-6.44604,38.90358,Dr. Ibra,Pwani Region,Bagamoyo District,Bagamoyo DC,Dunda,Mwambao,Level IA2 (Dispensary Laboratory),,Private,,,
113529-2,Ibra,-6.96813,39.22689,,Dar es Salaam Region,Temeke District,Temeke MC,Chamazi,,Level IA2 (Dispensary Laboratory),,Private,,,
111171-5,Ibuga,-2.66612,30.47932,Ibuga,Kagera Region,Ngara District,Ngara DC,Kabanga,Ibuga,Dispensary,,Public,01-01-70,,1
101453-9,Ibugule,-6.419891,35.557223,Ibugule,Dodoma Region,Bahi District,Bahi DC,Ibugule,Ibugule,Dispensary,,Public,01-01-70,2.55263E+11,4
101454-7,Ibukoni,-3.19085,37.641145,Ibukoni,Kilimanjaro Region,Rombo District,Rombo DC,Kelamfua Mokala,Ibukoni,Dispensary,,Public,,,3
101455-4,Ibumi,-10.12776,34.93636,Ibumi,Njombe Region,Ludewa District,Ludewa DC,Mundindi,,Dispensary,,Public,,765359073,2
101456-2,Ibumila,-9.126037,34.848478,Ibumila Dispensary,Njombe Region,Njombe District,Njombe DC,Kichiwa,Ibumila,Dispensary,,Public,01-01-70,,3
109148-7,Ibumila,,,Ibumila,Iringa Region,Iringa District,Iringa DC,Mgama,Ibumila,Dispensary,Foundation,Public,,262702828,
101457-0,Ibumu,-7.472041,36.126711,,Iringa Region,Kilolo District,Kilolo DC,Ibumu,Ibumu,Dispensary,,Public,06-01-10,,5
111478-4,Ibun jazary,-7.01391,39.29823,IBUN JAZARY,Pwani Region,Mkuranga District,Mkuranga DC,Vikindu,Mwandege,Dispensary,,Private,09-01-16,0652-805897,8
112393-4,Ibungu,-4.20703,35.74297,Upendo,Manyara Region,Babati District,Babati TC,Bagara,Nyanguu,Dispensary,,Private,01-01-70,785092533,7
113863-5,Ibungu,,,Ibungu Dispensary,Songwe Region,Ileje District,Ileje DC,Bupigu,Ibungu,Dispensary,Foundation,Public,,,
101458-8,Ibutamisuzi,-4.167439,33.966628,Ibutamisuzi Dispensary,Tabora Region,Igunga District,Igunga DC,Mbutu,Ibutamisuzi,Dispensary,,Public,07-01-66,,2
112459-3,Ibuti,-6.134387,36.899792,Ibuti,Morogoro Region,Gairo District,Gairo DC,Kibedya,,Dispensary,,Public,11-01-18,,
101459-6,Ibwaga,-6.22463,36.47119,Ibwaga,Dodoma Region,Kongwa District,Kongwa DC,Ugogoni,Ibwaga,Dispensary,,Public,06-03-02,,1
101460-4,Ibwanzi,-8.55016,35.5998,Ibwanzi,Iringa Region,Mufindi District,Mufindi DC,Ihanu,Ibwanzi,Dispensary,,Public,01-01-70,,32
101461-2,Ibwera,-1.48137,31.6308,Nshasha,Kagera Region,Bukoba District,Bukoba DC,Ibwera,,Dispensary,,Public,01-01-70,282220287,3
101464-6,Ichemba,-4.751423,32.356203,LEONARD CHARLES MILAMBO,Tabora Region,Kaliua District,Kaliua DC,Ichemba,Ichemba,Dispensary,,Private,01-01-70,2.55263E+11,5
101465-3,Ichesa,-9.02352,33.077994,Ichesa Dispensary,Songwe Region,Mbozi District,Mbozi DC,Myovizi,Ichesa,Dispensary,,Public,01-01-70,,2
101466-1,Ichwankima,-2.6111,31.55782,ICHWANKIMA,Geita Region,Chato District,Chato DC,Ichwankima,Ichwankima,Dispensary,,Public,01-01-70,,4
111675-5,ICS,-6.89555,39.22955,,Dar es Salaam Region,Temeke District,Temeke MC,Buza,Mji mpya,Dispensary,,Private,01-12-15,,4
101467-9,ICS Buguruni,,,,Dar es Salaam Region,Ilala District,Ilala MC,Ukonga,Mongo la ndege,Dispensary,,Private,,,
105314-9,ICS Charitable Mother Care,-6.901801,39.170163,,Dar es Salaam Region,Ilala District,Ilala MC,Ukonga,Markaz,Dispensary,,Private,01-01-70,,2
113834-6,ICS Mikocheni Charitable,-6.73047,38.73205,Mikocheni,Pwani Region,Kibaha District,Kibaha DC,Kilangalanga,Kilangalanga,Dispensary,,Private,06-01-19,744100399,4
110605-3,ICS St Ester,-6.809656,39.107663,ICT St Ester Malamba,Dar es Salaam Region,Ubungo District,Ubungo MC,Msigani,Malamba mawili,Dispensary,,Private,05-01-14,787359785,4
110606-1,ICS Ufunuo,-6.93836,39.18037,Ufunuo,Dar es Salaam Region,Ilala District,Ilala MC,Kivule,Kivule,Dispensary,,Private,03-02-15,767074912,2
108457-3,ICS- Royal,-6.79156,38.98609,Royal HC,Pwani Region,Kibaha District,Kibaha TC,Tumbi,Mwanalugali,Health Center,,Private,,754362265,12
101469-5,Idahina,-3.85323,32.1832,Idahina,Shinyanga Region,Kahama District,Ushetu DC,Idahina,Idahina,Dispensary,,Public,01-01-70,,4
101470-3,Idamnole,-10.598423,39.250999,Idamnole,Mtwara Region,Newala District,Newala DC,Chihangu,Idamnole,Dispensary,,Public,,,1
111746-4,Idasi,-8.16592,35.95853,,Iringa Region,Kilolo District,Kilolo DC,Ng'ang'ange,Idasi,Dispensary,Foundation,Public,,,
101471-1,Idegenda,-8.2653,35.93201,,Iringa Region,Kilolo District,Kilolo DC,Masisiwe,Idegenda,Dispensary,,Public,01-01-70,,
101472-9,Idende,-9.35172,34.08271,Idende,Njombe Region,Makete District,Makete DC,Bulongwa,Idende,Dispensary,,Public,01-01-70,,
101473-7,Idete,-8.101000000000001,36.36,Idete,Morogoro Region,Kilombero District,Mlimba DC,Idete,Idete,Dispensary,,Public,10-03-14,689221541,1
101475-2,Idete,-8.953430000000001,35.2148,Idete,Iringa Region,Mufindi District,Mufindi DC,Kiyowela,Idete,Dispensary,,Public,07-01-75,,4
101474-5,Idete,-8.170809999999999,36.0023,IDETE,Iringa Region,Kilolo District,Kilolo DC,Idete,Idete,Dispensary,,Private,09-06-97,,13
101476-0,Idete Prison,Not Set,Not Set,Idete Magereza,Morogoro Region,Kilombero District,Mlimba DC,Idete,Idete,Dispensary,,Public,07-01-73,,4
101477-8,Idetemya,-2.68465,32.98506,Idetemya,Mwanza Region,Misungwi District,Misungwi DC,Usagara,Usagara,Dispensary,,Public,07-01-30,,7
109946-4,Idibila,-8.939378,33.123113,Idibila,Songwe Region,Mbozi District,Mbozi DC,Ruanda,Idibila,Dispensary,Foundation,Public,,,
101478-6,Idibo,-6.02354,37.08662,Idibo,Morogoro Region,Gairo District,Gairo DC,Idibo,Idibo,Dispensary,,Public,05-10-36,,1
101479-4,Idifu,-6.436293,35.982823,Idifu,Dodoma Region,Chamwino District,Chamwino DC,Idifu,Idifu,Dispensary,,Public,12-07-04,,1
101480-2,Idiga,-8.960626,33.242356,Idiga Songwe,Mbeya Region,Mbeya District,Mbeya DC,Bonde la Songwe,Idiga Songwe,Dispensary,,Public,01-01-70,,1
101481-0,Idihani,-9.507288000000001,34.517283,Idihani dispensary,Njombe Region,Njombe District,Njombe TC,Lugenge,Lugenge,Dispensary,,Public,04-01-98,768376352,1
101482-8,Idimi,,,,Mbeya Region,Mbeya District,Mbeya DC,Ihango,Idimi,Dispensary,Foundation,Public,,,
114827-9,Idindilimunyi,,,,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Mdandu,Itulahumba,Dispensary,Foundation,Public,01-01-70,,
101483-6,Idiwili,-9.137601999999999,33.154669,Idiwili Dispensary,Songwe Region,Mbozi District,Mbozi DC,Iyula,Idiwili,Dispensary,,Public,07-01-84,,2
115282-6,Idiwili,-9.071687000000001,33.271509,Idiwili,Mbeya Region,Mbeya District,Mbeya DC,Isuto,Idiwili,Dispensary,Foundation,Public,02-08-21,,
101484-4,Idodi,-7.46971,35.1194,Idodi,Iringa Region,Iringa District,Iringa DC,Idodi,Idodi,Health Center,,Public,07-01-72,262702828,30
101485-1,Idodoma,-7.29905,36.374386,,Dodoma Region,Mpwapwa District,Mpwapwa DC,Malolo,Idodoma,Dispensary,,Public,01-01-70,,
101486-9,Idodyandole,,,Idodyandole,Singida Region,Manyoni District,Itigi DC,Idodyandole,,Dispensary,,Public,07-08-74,,1
111679-7,Iduchu,-9.578091000000001,34.781432,iduchu,Njombe Region,Njombe District,Njombe TC,Luponde,Luponde,Dispensary,,Public,01-02-17,752109110,1
113732-2,Iduda,-8.9344,33.55682,Iduda Hospitali,Mbeya Region,Mbeya District,Mbeya CC,Iduda,Kanda ya juu,Health Center,Foundation,Public,,,
101487-7,Idudumo,,,,Tabora Region,Nzega District,Nzega DC,,,Dispensary,Foundation,Public,,,
101488-5,Idukilo,-3.44065,33.65913,Idukilo,Shinyanga Region,Kishapu District,Kishapu DC,Mwadui Luhumbo,Idukilo,Dispensary,,Public,07-01-42,,7
115070-5,idukilo,,,,Shinyanga Region,Kishapu District,Kishapu DC,Mwadui Luhumbo,Idukilo,Health Center,Foundation,Public,02-02-21,,
111041-0,Idunda,-8.48803,36.69568,Idunda,Morogoro Region,Ulanga District,Ulanga DC,Kichangani,Idunda,Dispensary,,Public,,,2
101490-1,Idunda,,,,Iringa Region,Kilolo District,Kilolo DC,Kimala,,Dispensary,,Private,,,
101495-0,Idunda,-9.344723999999999,34.928551,Idunda dispensary,Njombe Region,Njombe District,Njombe TC,Yakobi,Idunda,Dispensary,,Public,01-01-70,O764841376,1
101494-3,Idunda,-9.0871,33.204001,Idunda,Songwe Region,Mbozi District,Mbozi DC,Iyula,Idunda,Dispensary,,Public,07-01-94,,1
101491-9,Idunda,-8.647729999999999,34.8028,Idunda,Iringa Region,Mufindi District,Mufindi DC,Idunda,Idumilavanu,Dispensary,,Public,01-01-70,,5
101492-7,Idunda,-8.91558,33.62783,Idunda,Mbeya Region,Mbeya District,Mbeya DC,Itewe,Idunda,Dispensary,,Public,10-10-11,,6
114842-8,Idunda,,,Idunda Dispensary,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Makoga,,Dispensary,Foundation,Public,01-01-70,,
101496-8,Idundilanga,-9.349798,34.769419,Idundilanda dispensary,Njombe Region,Njombe District,Njombe TC,Njombe Mjini,Idundilanga,Dispensary,,Public,07-01-10,754584812,4
101497-6,Iduo,-6.26319,36.64932,Iduo,Dodoma Region,Kongwa District,Kongwa DC,Iduo,Iduo,Dispensary,,Public,01-01-70,,1
111520-3,Ifakara,-8.135,36.6829,,Morogoro Region,Kilombero District,Ifakara TC,Mlabani,,Dispensary,,Private,,,
101498-4,Ifinga,-9.528639999999999,35.5286,Ifinga,Ruvuma Region,Songea District,Madaba DC,Matumbi,Ifinga,Dispensary,,Private,09-06-97,2.55763E+11,2
101500-7,Ifucha,-5.03441,32.95529,IFUCHA,Tabora Region,Tabora District,Tabora MC,Ifucha,Ifucha,Dispensary,,Public,,0262604315/6088,
109189-1,Ifuko,-8.571398,33.040289,IFUKO DISP,Songwe Region,Songwe District,Songwe DC,Chang`ommbe,Ifuko,Dispensary,,Public,01-01-70,,
101502-3,Ifumba,,,,Tabora Region,Nzega District,Nzega DC,Lusu,Ifumba,Dispensary,Foundation,Public,,,
109166-9,Ifumbo,-8.705842000000001,33.283777,Ifumbo,Mbeya Region,Chunya District,Chunya DC,Ifumbo,Ifumbo,Dispensary,,Public,01-01-70,,
101504-9,Ifunda,-8.04745,35.47379,Ifunda,Iringa Region,Iringa District,Iringa DC,Ifunda,Ifunda,Dispensary,,Public,07-01-06,262702828,3
101505-6,Ifunda RC,-8.03627,35.47378,Mission,Iringa Region,Iringa District,Iringa DC,Lumuli,Isupilo,Health Center,,Private,01-01-70,262702828,29
115172-9,Ifundwa,,,,Rukwa Region,Nkasi District,Nkasi DC,Isale,Ifundwa,Dispensary,Foundation,Public,02-04-21,,
114942-6,Ifungadi,-6.456768,38.2145,,Geita Region,Nyang'hwale District,Nyang'hwale DC,Busolwa,Ifugandi,Dispensary,Foundation,Public,01-01-70,,
101507-2,Ifupa,-8.976248999999999,33.766579,,Mbeya Region,Mbeya District,Mbeya DC,Ilungu,Ifupa,Dispensary,,Public,01-01-70,,
101508-0,Ifupira,-8.480869999999999,35.4164,Ifupira,Iringa Region,Mufindi District,Mufindi DC,Ifwagi,Ifupira,Dispensary,,Public,01-01-70,,
101509-8,Ifuwa,-7.79231,36.25434,Ifua,Iringa Region,Kilolo District,Kilolo DC,Udekwa,Ifuwa,Dispensary,,Public,07-01-73,,2
101510-6,Ifwagi,-8.41888,35.4202,Ifwagi,Iringa Region,Mufindi District,Mufindi DC,Ifwagi,Ifwagi,Health Center,,Public,08-01-76,,10
109167-7,Ifwenkenya,-8.634917,33.149211,Ifwenkenya Dispensary,Songwe Region,Songwe District,Songwe DC,Ifwenkenya,Ifwenkenya,Dispensary,,Public,01-01-70,,1
101512-2,Igaga B,-3.65172,33.77272,IGAGA B,Shinyanga Region,Kishapu District,Kishapu DC,Uchunga,Igaga 'B',Dispensary,,Public,01-01-70,,2
110901-6,Igagala,-4.926375,31.632088,IGAGALA HC,Tabora Region,Kaliua District,Kaliua DC,Igagala,Wachawaseme,Health Center,Foundation,Public,,,
111933-8,Igagala,-9.35149,34.65042,Igagala,Njombe Region,Wanging'ombe District,Wanging'ombe DC,Ulembwe,Igagala,Dispensary,,Public,12-01-19,,
101513-0,Igagala,-4.932497,31.630234,IGAGALA,Tabora Region,Kaliua District,Kaliua DC,Igagala,Mtakuja Mashariki,Dispensary,,Public,01-01-70,2.55682E+11,3
101515-5,Igaka,-2.74643,32.51031,Igaka,Mwanza Region,Sengerema District,Sengerema DC,Buzilasoga,Igaka,Nursing Home,,Public,03-05-02,769322459,6
